,word,definition,grouping
1808,dogma,"an official system of tenets, laid down by an authority",noun
1809,dogmatic,"opinionated, pragmatic",adjective
1810,dogmatize,to treat something as dogma,verb
1811,doleful,"mournful, bringing feelings of sadness",adjective
1812,dolesome,"doleful, dismal, gloomy",adjective
1813,dolor,"sorrow, grief, misery or anguish",noun
1814,dolorous,feeling or expressing great sorrow or distress,adjective
1815,dolt,a stupid person,noun
1816,domain,a geographic area owned by a single person or organization,noun
1817,domestic,of or relating to the home,adjective
1818,domesticity,affection for the home and its material comforts,noun
1819,domicile,a home or residence,noun
1820,dominance,power and influence over others,noun
1821,dominant,"most important, powerful, or influential",adjective
1822,dominate,"to govern, rule or control by superior authority or power",verb
1823,domination,the exercise of control or influence over something,noun
1824,domineer,to rule over or control arbitrarily or arrogantly,verb
1825,don,to put on (clothes),verb
1826,donator,one who donates,noun
1827,donee,someone who receives a gift from a donor,noun
1828,donor,"one who donates, typically, money",noun
1829,dormant,"inactive, idle",adjective
1830,dotard,"a person with impaired intellect, especially an old person",noun
1831,doublet,"a close-fitting jacket, men's wear in the renaissance",noun
1832,dour,"stern, harsh and forbidding",adjective
1833,dowdy,plain and unfashionable in style or dress,adjective
1834,dowry,"the money,or goods a wife brings to her husband at marriage",noun
1835,drachma,"the currency of greece until 2001, with the symbol ?",noun
1836,dragnet,a net dragged across the bottom of a body of water,noun
1837,dragoon,"to force someone into doing something, to coerce",verb
1838,drainage,a removal of surface and sub-surface water from a given area,noun
1839,dramatist,playwright,noun
1840,dramatize,to adapt a literary work so that it can be performed,verb
1841,drastic,"extreme, severe",adjective
1842,drawl,"to speak in a slow, lazy way with prolonged vowel sounds",verb
1843,drivel,"childish, silly or meaningless talk",noun
1844,droll,amusing in an odd way,adjective
1845,drone,to produce a low-pitched hum or buzz,verb
1846,dross,"something regarded as worthless, rubbish",noun
1847,drought,"a period of dry weather, especially injurous to crops",noun
1848,drowsy,"inclined to drowse, heavy with sleepiness, lethargic, dozy",adjective
1849,drub,"to hit or beat (someone) repeatedly, thrash",verb
1850,drudgery,"tedious, menial and exhausting work",noun
1851,dubious,hesitating or doubting,adjective
1852,duckling,a young duck,noun
1853,ductile,capable of being made into thin wire without breaking,adjective
1854,duet,"a performance by two people, esp. musicians",noun
1855,dulcet,sweet and soothing,adjective
1856,dun,to ask or beset a debtor for payment,verb
1857,dupe,"to swindle, deceive, or trick",verb
1858,duplex,something having two parts,verb
1859,duplicity,"deceitfulness, double dealing",noun
1860,durance,"confinement or restraint by force, imprisonment",noun
1861,duration,an amount of time or a particular time interval,noun
1862,duress,"coercion, compulsion by threat or force",noun
1863,duteous,willingly obedient out of a sense of duty and respect,adjective
1864,dutiable,on which duty must be paid when imported or sold,adjective
1865,dutiful,accepting of one's obligations and willing to do them well,adjective
1866,dwindle,"to decrease, shrink, diminish, reduce in size",verb
1867,dynamic,"characterized by constant change, activity, or progress",adjective
1868,dyne,a unit of force in the cgs system. symbol: dyn,noun
1869,earnest,"ardent in the pursuit of an object, eager to obtain or do",adjective
1870,earthenware,pottery of baked or hardened clay,noun
1871,eatable,"able to be eaten, edible",adjective
1872,ebullient,cheerful and full of energy,adjective
1873,eccentric,unconventional and slightly strange,adjective
1874,eccentricity,"oddity, peculiarity",noun
1875,echelon,a level or rank in an organization,noun
1876,eclat,"brilliance of success or effort, splendor",noun
1877,eclectic,made up of things selected from various sources,adjective
1878,eclipse,the complete or partial interception of light from a star,noun
1879,economize,to avoid waste or extravagance,verb
1880,ecstasy,intense pleasure,noun
1881,ecstatic,feeling or characterized by extreme happiness,adjective
1882,ecumenical,"interdenominational, sometimes by extension, interreligious",adjective
1883,edible,"that can be eaten without harm, non-toxic to humans",adjective
1884,edict,a proclamation of law or other authoritative command,noun
1885,edifice,"a building, esp. a large and imposing one",noun
1886,edify,to instruct or improve (someone) morally or intellectually,verb
1887,editorial,"of, or relating to the preparing of material for publication",adjective
1888,educe,"to draw out or bring out, elicit or evoke",verb
1889,efface,to erase (a mark) from the surface,verb
1890,effective,successful in producing a desired or intended result,adjective
1891,effectual,"producing the intended result, entirely adequate",adjective
1892,effeminacy,the quality of showing feminine traits (in a man),noun
1893,effeminate,(of a man) showing traits regarded as typical of a woman,verb
1894,effervesce,"to emit small bubbles of dissolved gas, to froth or fizz",verb
1895,effervescent,"giving off bubbles, fizzy",adjective
1896,effete,"of substances, quantities etc: exhausted, spent, worn-out",adjective
1897,efficacious,effective,adjective
1898,efficacy,the ability to produce a desired or intended result,noun
1899,efficiency,the extent to which time is well used for the intended task,noun
1900,efficient,making good use of time or energy,adjective
1901,effigy,a dummy or crude representation of something that is hated,noun
1902,efflorescence,the state or a period of flowering,noun
1903,efflorescent,bursting into flower,adjective
1904,effluvium,"a gaseous or vaporous emission, especially a foul odour",noun
1905,effrontery,insolent or impertinent behavior,noun
1906,effulgence,"a state of being bright and radiant, splendor, brilliance",noun
1907,effulgent,"shining, resplendent, with radiant splendor",adjective
1908,effuse,"to give (a liquid, light, smell, or quality)",verb
1909,effusion,an outpouring of liquid,noun
1910,effusive,expressing feelings in an unrestrained or heartfelt manner,adjective
1911,egalitarian,characterized by equality for all people,adjective
1912,egocentric,regarding the self as the center of all things,adjective
1913,egoism,the tendency to think of self and self-interest,noun
1914,egoist,a conceited and self-centered person,noun
1915,egotism,a tendency to talk excessively about oneself,noun
1916,egotist,a person who talks excessively about himself,noun
1917,egregious,"outstandingly bad, shocking",
1918,egress,"to exit or leave, to go or come out",verb
1919,elaborate,to give further detail or explanation (about),verb
1920,élan,"spirit, zeal, ardor",noun
1921,elapse,to pass or move by,verb
1922,elasticity,"flexibility, resilience, adaptability",noun
1923,elated,"very happy or proud, jubilant, in high spirits",adjective
1924,electrolysis,the passage of an electriccurrent through an electrolyte,noun
1925,electrotype,to make such a plate,verb
1926,eleemosynary,"relating to charity, alms, or almsgiving",adjective
1927,elegy,"a mournful or plaintive poem, a funeral song",noun
1928,elicit,"to evoke, obtain, or provoke as a response or answer",verb
1929,eligible,having the right to do or obtain something,adjective
1930,eliminate,to completely destroy (a thing) so that it no longer exists,verb
1931,elite,"of high birth or social position, aristocratic or patrician",adjective
1932,elixir,a liquid which converts lead to gold,noun
1933,elliptical,"in a shape reminding of an ellipse, oval",adjective
1934,elocution,the skill of a clear and expressive speech,noun
1935,eloquence,the quality of artistry and persuasiveness in language,noun
1936,eloquent,fluently persuasive and articulate,adjective
1937,elucidate,"to make clear, to clarify, to shed light upon",verb
1938,elude,"to evade, or escape from someone or something through skill",verb
1939,elusion,"the act, or abstract properties, of eluding",noun
1940,elusive,"evading capture, comprehension or remembrance",adjective
1941,emaciate,to make extremely thin or wasted,verb
1942,emanate,"to come from a source, stem out of",verb
1943,emancipate,"to set free from the power of another, to liberate, as:",verb
1944,embargo,any restriction placed on commerce by a government,noun
1945,embark,to get on a boat or ship or (outside the usa) an aeroplane,verb
1946,embarrass,"to cause confusion and shame to, disconcert, abash",verb
1947,embellish,to make something more entertaining by adding extra details,verb
1948,embezzle,to steal or misappropriate money one has been trusted with,verb
1949,emblazon,to adorn with prominent markings,verb
1950,emblem,"a representative symbol, such as a trademark or logo",noun
1951,embodiment,"a tangible or visible form of an idea, quality, or feeling",noun
1952,embody,"to represent in a physical form, to incarnate or personify",verb
1953,embolden,to render (someone) more bold or courageous,verb
1954,embolism,an obstruction or occlusion of an artery,noun
1955,embroil,"to draw into a situation, to cause to be involved",verb
1956,emend,make corrections and improvements to a text,verb
1957,emerge,to come into view,verb
1958,emergence,the act of coming forth from envelopment or concealment,noun
1959,emergent,in the process,adjective
1960,emeritus,having retired but retaining his title as an honor,adjective
1961,emigrant,someone who leaves a country to settle in a new country,noun
1962,emigrate,to leave the country in which one lives and settle elsewhere,verb
1963,eminence,"someone of high rank, reputation or social station",noun
1964,eminent,(a person) famous and respected within a particular sphere,adjective
1965,emissary,a person sent on a special mission,noun
1966,emit,to send out or give off,verb
1967,emollient,having the quality of softening or soothing the skin,adjective
1968,emolument,"payment for an office or employment, compensation for a job",noun
1969,emote,"to display emotions openly, especially while acting",verb
1970,empathy,the ability to understand and share the feelings of others,noun
1971,emphasis,special weight given to something considered important,noun
1972,emphasize,"to stress, give emphasis or extra weight to (something)",verb
1973,emphatic,expressing something forcibly and clearly,adjective
1974,empirical,pertaining to or based on experience,adjective
1975,emporium,"a market place or trading centre, particularly in antiquity",noun
1976,empower,to give permission or power to do something,verb
1977,emulate,to match or surpass (a person or achievement) by imitation,verb
1978,enact,to make (a bill) into law,verb
1979,enamor,"to attract, to capture",verb
1980,encamp,to build and/or inhabit a camp or temporary shelter,verb
1981,encapsulate,to cover something as if in a capsule,verb
1982,encipher,convert (a message or piece of text) into a coded form; encrypt,verb
1983,enclave,"a country, or part thereof, that is surrounded by another",noun
1984,encomium,a piece of writing that praises someone or something highly,noun
1985,encompass,"to form a circle around, to encircle",verb
1986,encore,to call for an extra performance or repetition,verb
1987,encourage,"to mentally support, to motivate, give courage",verb
1988,encroach,to advance gradually and in a way that causes damage,verb
1989,encumber,to load down something with a burden,verb
1990,encumbrance,"something that encumbers, a burden that must be carried",noun
1991,encyclical,intended for general circulation,adjective
1992,encyclopedia,a book or set of books containing articles on various topics,noun
1993,endanger,"to expose to danger, to risk causing harm to",verb
1994,endear,to make dear or precious,verb
1995,endearing,tending to make dear or beloved,verb
1996,endeavor,to attempt through application of effort,verb
1997,endemic,natural to or characteristic of a specific people or place,adjective
1998,endorse,"to support or give one's approval to, especially officially",verb
1999,endow,"to furnish, as with some talent, faculty, or quality",verb
2000,endue,"to invest or endow with some gift, quality, or faculty",verb
2001,endurance,the measure of a person's stamina or persistence,noun
2002,endure,"to hold out against, sustain without impairment or yielding",verb
2003,enduring,"lasting, permanent, present participle of endure",verb
2004,energetic,"possessing, exerting, or displaying energy",adjective
2005,enervate,"to deprive of force or strength, weaken",verb
2006,enfeeble,"to make feeble, to weaken",verb
2007,enfranchise,"to admit to citizenship, especially to grant voting rights",verb
2008,engage,to occupy the attention or efforts,verb
2009,engender,"to produce, cause, or give rise to",verb
2010,engrave,to carve text or symbols into (something),verb
2011,engross,"to occupy completely, as the mind or attention",verb
2012,engulf,to overwhelm,verb
2013,enhance,"to raise to a higher degree, intensify, magnify",verb
2014,enigma,a puzzling or inexplicable occurrence or situation,noun
2015,enigmatic,"perplexing, mysterious, resembling an enigma",adjective
2016,enjoin,"to lay upon, as an order or command, to order, to charge",verb
2017,enkindle,"to kindle, to arouse or evoke",verb
2018,enlighten,"to supply with light, to illuminate",verb
2019,enlist,"to join a cause or organization, especially military",verb
2020,enmity,"a feeling or condition of hostility, hatred, animosity",noun
2021,ennoble,"to bestow with nobility, honour or grace",verb
2022,ennui,"a listlessness or melancholia caused by boredom, depression",noun
2023,enormity,"greatness of size, scope, extent, or influence, immensity",noun
2024,enormous,"deviating from the norm, unusual, extraordinary",adjective
2025,enormousness,great size or magnitude,noun
2026,enrage,"to fill with rage, to provoke to frenzy or madness",verb
2027,enrapture,"to fill with great delight or joy, to fascinate",verb
2028,ensconce,to place in a secure environment,verb
2029,enshrine,to enclose (a sacred relic etc ) in a shrine or chest,verb
2030,enshroud,to cover with (or as if with) a shroud,verb
2031,ensnare,"to entrap, to catch in a snare or trap",verb
2032,entail,to imply or require,verb
2033,entangle,to twist in such a manner as not to be easily separated,verb
2034,enthrall,to captivate or charm,verb
2035,enthrone,to invest with sovereign or episcopal authority,verb
2036,enthuse,to cause (someone) to feel enthusiasm or to be enthusiastic,verb
2037,enthusiastic,"with zealous fervor, excited, motivated",adjective
2038,entice,"to lure, to attract by arousing desire or hope",verb
2039,entirety,"wholeness, fullness, the whole",noun
2040,entomology,the branch of zoology dealing with insects,noun
2041,entrail,"the internal parts of the trunk of a body, the intestines",noun
2042,entreat,"to treat, or conduct toward, to deal with, to use",verb
2043,entreaty,"the act of entreating or beseeching, urgent prayer",noun
2044,entrée,a dish served as the main course of a meal,noun
2045,entrench,"to place in a position of strength, establish firmly",verb
2046,entwine,to twist or twine around something (or one another),verb
2047,enumerate,"to mention separately as if in counting, name one by one",
2048,enunciate,to make a definite or systematic statement of,verb
2049,enunciation,"the act of announcing, proclaiming, or making known",noun
2050,envenom,to make poisonous,verb
2051,envoy,"a representative, a diplomatic agent",noun
2052,enzyme,a protein that catalyses a biological chemical reaction,noun
2053,ephemeral,"lasting a very short time, short-lived, transitory",adjective
2054,epic,"heroic, majestic, impressively great",
2055,epicure,"a person who cultivates a refined taste, connoisseur",noun
2056,epicurean,"pursuing pleasure, esp. in reference to food or comfort",adjective
2057,epicycle,circle whose centre is on the circumference of a larger one,noun
2058,epicycloid,plane curve made by tracing the path of a point of a circle,noun
2059,epidemic,"like or having to do with an epidemic, widespread",adjective
2060,epidermis,"the outer, protective layer of the skin of vertebrates",noun
2061,epigram,"any witty, ingenious, or pointed saying tersely expressed",
2062,epilogue,"a concluding part added to a literary work, as a novel",noun
2063,epiphany,a manifestation of a divine or superhuman being,noun
2064,epistemology,the branch of philosophy dealing with the study of knowledge,noun
2065,epistle,"a letter, or a literary composition in the form of a letter",noun
2066,epistolary,"of or relating to letters, or the writing of letters",adjective
2067,epitaph,an inscription on a gravestone in memory of the deceased,noun
2068,epithet,any phrase applied to a person/thing to describe a quality,noun
2069,epitome,a person or thing that is typical of a whole class,noun
2070,epitomize,"to serve as a typical example of, typify",verb
2071,epizootic,like or having to do with an epidemic among animals,adjective
2072,epoch,"a period of history, esp. considered remarkable/noteworthy",noun
2073,epode,a lyric poem in which a short verse follws a long one,noun
2074,equable,"unvarying, calm and steady, constant and uniform",adjective
2075,equalize,to make equal,verb
2076,equanimity,"mental or emotional stability or composure, calmness",noun
2077,equestrian,of horseback riding or horseback riders,adjective
2078,equilibrium,the condition in which competing influences are balanced,noun
2079,equine,of or relating to a horse or horses,adjective
2080,equipoise,"an equal distribution of weight, even balance, equilibrium",noun
2081,equitable,"characterized by equity or fairness, fair, reasonable",adjective
2082,equity,"the quality of being fair or impartial, fairness",noun
2083,equivalent,"similar or identical in value, meaning or effect",adjective
2084,equivocal,"of doubtful nature or character, questionable, dubious",adjective
2085,equivocate,"to use unclear expressions, usually in order to mislead",verb
2086,eradicate,to remove or destroy utterly,verb
2087,erasure,"the action of erasing, deletion, obliteration",noun
2088,erode,"to wear away by abrasion, corrosion or chemical reaction",verb
2089,err,to make a mistake,verb
2090,errant,straying from the proper course or standard,adjective
2091,erratic,"unsteady, prone to unexpected changes, not consistent",adjective
2092,erroneous,"containing error, mistaken, incorrect, wrong",adjective
2093,ersatz,"made in imitation, artificial",adjective
2094,erudite,"characterized by great knowledge, learned or scholarly",adjective
2095,erudition,"knowledge acquired by study, research, etc., learning",noun
2096,escalate,"to increase (something) in extent or intensity, intensify",verb
2097,eschew,"to abstain or keep away from, shun, avoid",verb
2098,esoteric,understood by or meant for only a select few,adjective
2099,espionage,the act or practice of spying,noun
2100,espouse,"to make one's own, adopt or embrace, as a cause",verb
2101,esprit,"spirit, enthusiasm",noun
2102,espy,"to catch sight or, to perceive with the eyes, to discover",verb
2103,esquire,"to attend, wait on, escort",verb
2104,essence,the inherent nature of a thing or idea,noun
2105,esteem,to regard someone with respect,verb
2106,estimable,"worthy of esteem, admirable",adjective
2107,estrange,"to cause to feel less close or friendly, alienate",verb
2108,estuary,coastal water body where ocean tides and river water merge,noun
2109,ethereal,"light, airy, or tenuous, delicate",adjective
2110,ethos,"characteristic spirit of a culture, era, or community",noun
2111,etymology,"the derivation of a word, word origin",noun
2112,eugenic,of bringing about improvement in produced offspring,adjective
2113,eulogize,"to praise or pay homage to, especially in a formal eulogy",verb
2114,eulogy,"an oration to honor a deceased person, usually at a funeral",noun
2115,euphemism,an indirect expression substituted for an offensive one,noun
2116,euphonious,"pleasant-sounding, agreeable to the ear",adjective
2117,euphony,a pleasing pronunciation of letters and syllables,noun
2118,euphoria,"a feeling of happiness, confidence, or well-being",noun
2119,euphoric,feeling of great well-being or intense feeling of happiness,adjective
2120,eureka,an exclamation of triumph at a discovery,adjective
2121,euthanasia,the practice of painlessly killing for humane reasons,noun
2122,evacuate,to leave or withdraw from,verb
2123,evade,"to get away from by artifice, to avoid by dexterity",verb
2124,evanesce,to disappear into a mist or dissipate in vapor,verb
2125,evanescence,"to disappear gradually, vanish, fade away",verb
2126,evanescent,"vanishing, fading away, fleeting",adjective
2127,evangelical,pertaining to the gospel(s) of the christian new testament,adjective
2128,evangelist,"an itinerant or special preacher, especially a revivalist",noun
2129,evasion,"the act of eluding or avoiding, particularly some pressure",noun
2130,evasive,tending to avoid making revelations about oneself,adjective
2131,eventual,happening at some indefinite future time,adjective
2132,evert,to turn inside out,verb
2133,evict,to expel (one or more people) from their property,verb
2134,evidential,of or providing evidence,adjective
2135,evince,"to show or demonstrate clearly, to manifest",verb
2136,evocation,"an act or instance of evoking, a calling forth",noun
2137,evoke,to cause a thing to manifest in someone's mind,verb
2138,evolution,"any process of formation or growth, development",noun
2139,evolve,to develop gradually,verb
2140,ewe,"a female sheep, especially when fully mature",noun
2141,ex officio,by right of position or office,noun
2142,exacerbate,"to increase the severity, bitterness, or violence of",verb
2143,exact,strictly accurate or correct,adjective
2144,exacting,rigid or severe in demands or requirements,verb
2145,exaggerate,"to overstate, to describe more than is fact",verb
2146,exalt,"to raise in rank, honor, power, character, quality",verb
2147,exasperate,"to irritate or provoke to a high degree, annoy extremely",verb
2148,exasperation,"to irritate or provoke to a high degree, annoy extremely",noun
2149,excavate,"to make a hole in (something), to hollow",verb
2150,exceed,"to be larger, greater than (something)",verb
2151,excel,to be better or do better than someone or something,verb
2152,excellence,the state of possessing good qualities in an eminent degree,noun
2153,exceptionable,"liable to exception or objection, objectionable",adjective
2154,excess,"more than is normal, necessary or specified",adjective
2155,excitable,easily excited,adjective
2156,excitation,the act of exciting or putting in motion,noun
2157,exclamation,"a loud calling or crying out, indicative of emotion",noun
2158,exclusion,the act of shutting out,noun
2159,excoriate,to denounce or berate severely,verb
2160,excoriation,the act of excoriating or flaying,noun
2161,excrescence,"something, usually abnormal, growing out of something else",noun
2162,excretion,the process of removing material that has no further utility,noun
2163,excruciate,"to inflict intense pain on (someone), to torture",verb
2164,exculpate,"to clear from a charge of guilt or fault,vindicate",verb
2165,excursion,"a brief recreational trip, a journey out of the usual way",noun
2166,excusable,possible to excuse,adjective
2167,execrable,"utterly detestable, abominable, abhorrent",adjective
2168,execration,a curse dictated by violent feelings of hatred,noun
2169,executor,"a person who performs some duty, job, etc",noun
2170,exegesis,critical explanation or interpretation of a text,noun
2171,exemplar,"something fit to be imitated, ideal or model",noun
2172,exemplary,"worthy of imitation, commendable",adjective
2173,exemplify,to show or illustrate by example,verb
2174,exempt,to grant (someone) freedom or immunity from,verb
2175,exert,to put in vigorous action,verb
2176,exhale,to expel air from the lungs,verb
2177,exhaustive,including every possible element,adjective
2178,exhilarate,"to enliven, invigorate, stimulate",verb
2179,exhort,"to urge, advise, or caution earnestly, admonish urgently",verb
2180,exhume,"to dig out of the ground, to take out of a place of burial",verb
2181,exigency,"exigent state or character, urgency",noun
2182,exigent,"urgent, needing immediate action",adjective
2183,existence,"the state of being, existing, or occurring, beinghood",noun
2184,existential,"of, or relating to existence",adjective
2185,exodus,a sudden departure of a large number of people,noun
2186,exonerate,"to relieve (someone or something) of a load, to unburden",verb
2187,exorbitance,"exceeding the bounds of custom, propriety, or reason",noun
2188,exorbitant,"exceeding proper limits, extravagant",adjective
2189,exorcise,"to drive out an evil spirit from a person, place or thing",verb
2190,exorcism,the ceremony or the formula used in exorcising,noun
2191,exotic,"foreign, with the connotation of excitingly foreign",adjective
2192,expand,to change from a smaller size to a larger one,verb
2193,expanse,"a wide stretch, usually of sea, sky, or land",noun
2194,expansion,the act or process of expanding,noun
2195,expatiate,"to range at large, or without restraint",verb
2196,expatriate,to banish (a person) from his or her native country,
2197,expectancy,"anticipation, the state of expecting something",noun
2198,expectorate,to cough up fluid from the lungs,verb
2199,expediency,suitability for particular circumstance or situation,noun
2200,expedient,"simple, easy, or quick, convenient",adjective
2201,expedite,to accelerate the progress of,verb
2202,expeditious,"fast, prompt, speedy",adjective
2203,expend,to consume or exhaust some resource,verb
2204,expiate,to atone or make reparation for,verb
2205,explicate,"to explain meticulously or in great detail, to analyze",verb
2206,explicit,"very specific, clear, or detailed",adjective
2207,exploit,to use for one’s own advantage,verb
2208,exponent,"one who expounds, represents or advocates",noun
2209,exposition,"the act of expounding, setting forth, or explaining",noun
2210,expository,"serving to explain, explicate, or elucidate",adjective
2211,expostulate,to protest or remonstrate,verb
2212,exposure,"the condition of being exposed, uncovered, or unprotected",noun
2213,expound,to set forth or state in detail,verb
2214,expressive,effectively conveying thought or feeling,adjective
2215,expulsion,the act of driving out or expelling,noun
2216,expunge,"to strike or blot out, erase",
2217,expurgate,"to edit out incorrect, or otherwise undesirable information",verb
2218,extant,"in existence, still existing, not destroyed or lost",adjective
2219,extemporaneous,"without preparation or advanced thought, offhand",adjective
2220,extempore,"carried out with no preparation, impromptu",adjective
2221,extensible,capable of being extended,adjective
2222,extensive,"in the nature of an extent, wide, widespread",adjective
2223,extensor,a muscle whose contraction extends or straightens a limb,noun
2224,extenuate,"to represent (a fault, offense, etc ) as less serious",verb
2225,external,outside of something,adjective
2226,extinct,"no longer in existence, that has ended or died out",adjective
2227,extinguish,"to put out, as in fire, to end burning, to quench",verb
2228,extirpate,"to remove or destroy totally, do away with, exterminate",verb
2229,extol,"to praise highly, laud, eulogize",verb
2230,extort,to take by illegal exercise of power or ingenuity,verb
2231,extortion,obtaining something by the abuse of office or authority,noun
2232,extradite,to move a person from one state to another by legal process,verb
2233,extradition,surrender of an alleged fugitive by one authority to another,noun
2234,extrajudicial,carried out without legal authority,adjective
2235,extraneous,"not belonging to, or dependent upon, a thing",adjective
2236,extraordinary,"not ordinary, exceptional, unusual",adjective
2237,extrapolate,to infer (an unknown) from something that is known,verb
2238,extravagance,excessive or superfluous expenditure of money,noun
2239,extravagant,"spending much more than is necessary or wise, wasteful",adjective
2240,extremist,"holding extreme views, especially on a political subject",adjective
2241,extremity,the most extreme or furthest point of something,noun
2242,extricate,"to free, disengage, loosen, or untangle",verb
2243,extrinsic,"external, separable from the thing itself, inessential",adjective
2244,extrovert,"an outgoing, gregarious person",noun
2245,extrude,to push or thrust out,verb
2246,exuberance,effusively and almost uninhibitedly enthusiastic,adjective
2247,exuberant,"very high-spirited, extremely energetic or enthusiastic",adjective
2248,exude,"to discharge through pores, to emit, to give out",verb
2249,exult,"to rejoice, be very happy",verb
2250,fabricate,"to form into a whole by uniting its parts, to construct",verb
2251,fabrication,"the act of framing, construction, manufacture",noun
2252,fabulous,"extraordinary, especially in being very large",adjective
2253,facade,"the face of a building, especially the front",noun
2254,facet,"one of the small, polished plane surfaces of a cut gem",verb
2255,facetious,not meant to be taken seriously or literally,adjective
2256,facile,easily accomplished or attained,
2257,facile,"moving, acting, working, proceeding, etc , with ease",adjective
2258,facilitate,to make easy or easier,verb
2259,facility,"ease in learning or in doing something, proficiency",noun
2260,facsimile,"to send via a facsimile machine, normally spoken as “fax”",verb
2261,faction,a group or clique within a larger group,noun
2262,factionalism,the splitting of a group into factions,noun
2263,factious,"of, pertaining to, or caused by factions",adjective
2264,fad,"a temporary fashion, notion, manner of conduct, etc",noun
2265,falderol,nonsense or foolishness,noun
2266,fallacious,"containing a fallacy, logically unsound",adjective
2267,fallacy,"deceptive or false appearance, deceitfulness, deception",noun
2268,fallible,capable of making mistakes or being wrong,adjective
2269,fallow,to make land fallow for agricultural purposes,verb
2270,falter,to waver or be unsteady,verb
2271,famine,"extreme and general scarcity of food, as in a country",noun
2272,famish,"to suffer or cause to suffer extreme hunger, starve",verb
2273,fanatic,"a person with an extreme enthusiasm or zeal, as in religion",noun
2274,fanatical,having an extreme zeal or enthusiasm for something,adjective
2275,fanaticism,the characteristic or practice of being a fanatic,noun
2276,fanciless,"having no fancy, without ideas or imagination",adjective
2277,farcical,"resembling a farce, ludicrous, absurd",adjective
2278,fastidious,"excessively particular, demanding, or fussy about details",adjective
2279,fastidiousness,the quality of being fastidious,noun
2280,fatalist,one who maintains all things happen by inevitable necessity,noun
2281,fathom,"to penetrate to the truth of, comprehend, understand",verb
2282,fatuous,"foolish or inane, especially in an unconscious manner, silly",adjective
2283,faulty,having or displaying faults not adequate or acceptable,adjective
2284,faun,mythical woodland creature with pointed ears and short horns,noun
2285,fauna,animals of a given region or period considered as a whole,noun
2286,faux pas,"a slip or blunder in etiquette, manners, or conduct",noun
2287,fawn,to exhibit affection or attempt to please,verb
2288,fealty,"fidelity, faithfulness",noun
2289,feasible,that can be done in practice,adjective
2290,febrile,"feverish, or having a high temperature",adjective
2291,feckless,"ineffective, incompetent, futile",adjective
2292,fecund,"highly fertile, able to produce offspring",adjective
2293,federate,to unite in a federation,verb
2294,feign,"to represent by a false appearance of, to pretend",verb
2295,feint,a movement made in order to deceive an adversary,verb
2296,felicitate,"to congratulate, to compliment upon a happy event",verb
2297,felicitous,"well-suited for the occasion, as an action or expression",adjective
2298,felicity,"happiness, especially to a high degree",noun
2299,felon,a person convicted of a felony,noun
2300,felonious,"having the quality of felony, malignant, malicious",adjective
2301,felony,"an offense, as murder or burglary, of grave character",noun
2302,feminine,"of the female sex, biologically female, not male, womanly",adjective
2303,feral,"existing in a natural state, not domesticated, wild",adjective
2304,ferment,"living organisms (yeasts, molds) that cause fermentation",noun
2305,fernery,specialized garden for the cultivation and display of ferns,noun
2306,ferocious,marked by extreme and violent energy,adjective
2307,ferocity,"the condition of being ferocious, savage fierceness",noun
2308,fertile,"capable of growing abundant crops, productive",adjective
2309,fertilize,to make (the soil) more fertile by adding nutrients to it,verb
2310,fervent,having or showing great warmth or intensity of spirit,adjective
2311,fervid,"heated or vehement in spirit, enthusiasm, etc",adjective
2312,fervor,"an intense, heated emotion, passion, ardor",noun
2313,festal,"festive, relating to a festival or feast",adjective
2314,festive,"having the atmosphere,or attitude of a celebration",adjective
2315,fete,to celebrate (a person),verb
2316,fetid,"having an offensive odor, stinking",adjective
2317,fetish,an object seen as being the habitation of a spirit,noun
2318,fetter,to shackle or bind up with fetters,verb
2319,fetus,an unborn vertebrate showing signs of the mature animal,noun
2320,feudal,"of, or relating to the feudal system",adjective
2321,feudalism,social system based on personal resources and fealty,noun
2322,fiasco,a complete and ignominious failure,noun
2323,fiat,"an authoritative command or order, an effectual decree",noun
2324,fickle,"likely to change, casually changeable",adjective
2325,fictitious,"not real, invented, contrived",adjective
2326,fidelity,faithfulness to one's duties,noun
2327,fidget,"to wiggle or twitch, to move around nervously or idly",verb
2328,fiducial,accepted as a fixed basis of reference,adjective
2329,fief,a territory held in fee,noun
2330,figment,"a fabrication, fantasy, invention, something fictitious",noun
2331,figurative,"metaphorical, as opposed to literal",adjective
2332,figurehead,person who is head of a group in title but has no authority,noun
2333,filch,"to steal, to illegally take possession of",verb
2334,filial,"of, pertaining to, or befitting a son or daughter",adjective
2335,filibuster,to force a decision,verb
2336,financial,pertaining or relating to money matters,adjective
2337,financier,a person skilled in managing large financial operations,noun
2338,finery,"fine or showy dress, ornaments, etc",noun
2339,finesse,"extreme delicacy or subtlety in action, performance, etc",verb
2340,finicky,"fastidious and fussy, difficult to please, exacting",adjective
2341,finite,"having bounds or limits, not infinite, measurable",adjective
2342,fiscal,"related to the treasury of a country, company, or region",adjective
2343,fishmonger,a person who sells fish,noun
2344,fission,the act of cleaving or splitting into parts,verb
2345,fissure,narrow opening produced by cleavage or separation of parts,noun
2346,fitful,"irregular, unsteady, characterized by fits",adjective
2347,fixture,"to furnish with, as, or in a fixture",verb
2348,flabbergasted,simple past tense and past participle of flabbergast,verb
2349,flaccid,"soft and limp, not firm, flabby",adjective
